Gene,Gene Identifier,Number of AT Sites,AT Coordinates
Major myo-inositol transporter IolT,RAST2:fig|442.17.peg.875,125,"45262, 45268, 45280, 45281, 45285, 45304, 45305, 45317, 45326, 45331, 45342, 45352, 45353, 45376, 45383, 45406, 45411, 45438, 45454, 45459, 45460, 45470, 45505, 45520, 45547, 45617, 45624, 45652, 45690, 45702, 45703, 45727, 45734, 45735, 45788, 45793, 45801, 45811, 45840, 45856, 45868, 45887, 45888, 45891, 45892, 45904, 45924, 45925, 45930, 45931, 45947, 45955, 45998, 46000, 46003, 46004, 46059, 46062, 46063, 46072, 46073, 46098, 46120, 46134, 46138, 46142, 46156, 46202, 46275, 46290, 46296, 46312, 46314, 46317, 46318, 46319, 46320, 46329, 46345, 46364, 46365, 46374, 46375, 46389, 46395, 46396, 46398, 46407, 46410, 46423, 46427, 46428, 46447, 46448, 46452, 46456, 46457, 46467, 46468, 46480, 46483, 46484, 46492, 46496, 46497, 46507, 46518, 46521, 46528, 46537, 46539, 46543, 46548, 46559, 46570, 46576, 46586, 46603, 46611, 46612, 46628, 46637, 46664, 46692, 46693"
"Transcriptional regulator, LysR family",RAST2:fig|442.17.peg.876,66,"46943, 46949, 46961, 46962, 46966, 46985, 46986, 46998, 47007, 47012, 47023, 47033, 47034, 47057, 47064, 47087, 47092, 47119, 47135, 47140, 47141, 47151, 47186, 47201, 47228, 47298, 47305, 47333, 47371, 47383, 47384, 47408, 47415, 47416, 47469, 47474, 47482, 47492, 47521, 47537, 47549, 47568, 47569, 47572, 47573, 47585, 47605, 47606, 47611, 47612, 47628, 47636, 47679, 47681, 47684, 47685, 47740, 47743, 47744, 47753, 47754, 47779, 47801, 47815, 47819, 47823"
Beta-lactamase class C-like and penicillin bind,RAST2:fig|442.17.peg.877,133,"47969, 47975, 47987, 47988, 47992, 48011, 48012, 48024, 48033, 48038, 48049, 48059, 48060, 48083, 48090, 48113, 48118, 48145, 48161, 48166, 48167, 48177, 48212, 48227, 48254, 48324, 48331, 48359, 48397, 48409, 48410, 48434, 48441, 48442, 48495, 48500, 48508, 48518, 48547, 48563, 48575, 48594, 48595, 48598, 48599, 48611, 48631, 48632, 48637, 48638, 48654, 48662, 48705, 48707, 48710, 48711, 48766, 48769, 48770, 48779, 48780, 48805, 48827, 48841, 48845, 48849, 48863, 48909, 48982, 48997, 49003, 49019, 49021, 49024, 49025, 49026, 49027, 49036, 49052, 49071, 49072, 49081, 49082, 49096, 49102, 49103, 49105, 49114, 49117, 49130, 49134, 49135, 49154, 49155, 49159, 49163, 49164, 49174, 49175, 49187, 49190, 49191, 49199, 49203, 49204, 49214, 49225, 49228, 49235, 49244, 49246, 49250, 49255, 49266, 49277, 49283, 49293, 49310, 49318, 49319, 49335, 49344, 49371, 49399, 49400, 49433, 49436, 49444, 49512, 49513, 49514, 49556, 49565"
D-amino acid dehydrogenase,RAST2:fig|442.17.peg.878,99,"49774, 49780, 49792, 49793, 49797, 49816, 49817, 49829, 49838, 49843, 49854, 49864, 49865, 49888, 49895, 49918, 49923, 49950, 49966, 49971, 49972, 49982, 50017, 50032, 50059, 50129, 50136, 50164, 50202, 50214, 50215, 50239, 50246, 50247, 50300, 50305, 50313, 50323, 50352, 50368, 50380, 50399, 50400, 50403, 50404, 50416, 50436, 50437, 50442, 50443, 50459, 50467, 50510, 50512, 50515, 50516, 50571, 50574, 50575, 50584, 50585, 50610, 50632, 50646, 50650, 50654, 50668, 50714, 50787, 50802, 50808, 50824, 50826, 50829, 50830, 50831, 50832, 50841, 50857, 50876, 50877, 50886, 50887, 50901, 50907, 50908, 50910, 50919, 50922, 50935, 50939, 50940, 50959, 50960, 50964, 50968, 50969, 50979, 50980"
hypothetical protein,RAST2:fig|442.17.peg.879,190,"51012, 51018, 51030, 51031, 51035, 51054, 51055, 51067, 51076, 51081, 51092, 51102, 51103, 51126, 51133, 51156, 51161, 51188, 51204, 51209, 51210, 51220, 51255, 51270, 51297, 51367, 51374, 51402, 51440, 51452, 51453, 51477, 51484, 51485, 51538, 51543, 51551, 51561, 51590, 51606, 51618, 51637, 51638, 51641, 51642, 51654, 51674, 51675, 51680, 51681, 51697, 51705, 51748, 51750, 51753, 51754, 51809, 51812, 51813, 51822, 51823, 51848, 51870, 51884, 51888, 51892, 51906, 51952, 52025, 52040, 52046, 52062, 52064, 52067, 52068, 52069, 52070, 52079, 52095, 52114, 52115, 52124, 52125, 52139, 52145, 52146, 52148, 52157, 52160, 52173, 52177, 52178, 52197, 52198, 52202, 52206, 52207, 52217, 52218, 52230, 52233, 52234, 52242, 52246, 52247, 52257, 52268, 52271, 52278, 52287, 52289, 52293, 52298, 52309, 52320, 52326, 52336, 52353, 52361, 52362, 52378, 52387, 52414, 52442, 52443, 52476, 52479, 52487, 52555, 52556, 52557, 52599, 52608, 52619, 52623, 52654, 52655, 52656, 52675, 52680, 52750, 52784, 52798, 52805, 52808, 52813, 52821, 52826, 52861, 52864, 52886, 52913, 52971, 52972, 52973, 53009, 53034, 53041, 53058, 53060, 53090, 53091, 53092, 53096, 53114, 53115, 53125, 53129, 53156, 53184, 53195, 53196, 53201, 53202, 53223, 53236, 53245, 53252, 53259, 53260, 53262, 53317, 53332, 53336, 53337, 53344, 53354, 53360, 53376, 53380"
Beta-lactamase class C-like and penicillin bind,RAST2:fig|442.17.peg.880,109,"53396, 53402, 53414, 53415, 53419, 53438, 53439, 53451, 53460, 53465, 53476, 53486, 53487, 53510, 53517, 53540, 53545, 53572, 53588, 53593, 53594, 53604, 53639, 53654, 53681, 53751, 53758, 53786, 53824, 53836, 53837, 53861, 53868, 53869, 53922, 53927, 53935, 53945, 53974, 53990, 54002, 54021, 54022, 54025, 54026, 54038, 54058, 54059, 54064, 54065, 54081, 54089, 54132, 54134, 54137, 54138, 54193, 54196, 54197, 54206, 54207, 54232, 54254, 54268, 54272, 54276, 54290, 54336, 54409, 54424, 54430, 54446, 54448, 54451, 54452, 54453, 54454, 54463, 54479, 54498, 54499, 54508, 54509, 54523, 54529, 54530, 54532, 54541, 54544, 54557, 54561, 54562, 54581, 54582, 54586, 54590, 54591, 54601, 54602, 54614, 54617, 54618, 54626, 54630, 54631, 54641, 54652, 54655, 54662"
hypothetical protein,RAST2:fig|442.17.peg.881,160,"54676, 54682, 54694, 54695, 54699, 54718, 54719, 54731, 54740, 54745, 54756, 54766, 54767, 54790, 54797, 54820, 54825, 54852, 54868, 54873, 54874, 54884, 54919, 54934, 54961, 55031, 55038, 55066, 55104, 55116, 55117, 55141, 55148, 55149, 55202, 55207, 55215, 55225, 55254, 55270, 55282, 55301, 55302, 55305, 55306, 55318, 55338, 55339, 55344, 55345, 55361, 55369, 55412, 55414, 55417, 55418, 55473, 55476, 55477, 55486, 55487, 55512, 55534, 55548, 55552, 55556, 55570, 55616, 55689, 55704, 55710, 55726, 55728, 55731, 55732, 55733, 55734, 55743, 55759, 55778, 55779, 55788, 55789, 55803, 55809, 55810, 55812, 55821, 55824, 55837, 55841, 55842, 55861, 55862, 55866, 55870, 55871, 55881, 55882, 55894, 55897, 55898, 55906, 55910, 55911, 55921, 55932, 55935, 55942, 55951, 55953, 55957, 55962, 55973, 55984, 55990, 56000, 56017, 56025, 56026, 56042, 56051, 56078, 56106, 56107, 56140, 56143, 56151, 56219, 56220, 56221, 56263, 56272, 56283, 56287, 56318, 56319, 56320, 56339, 56344, 56414, 56448, 56462, 56469, 56472, 56477, 56485, 56490, 56525, 56528, 56550, 56577, 56635, 56636, 56637, 56673, 56698, 56705, 56722, 56724"
TonB-dependent receptor,RAST2:fig|442.17.peg.882,226,"56908, 56914, 56926, 56927, 56931, 56950, 56951, 56963, 56972, 56977, 56988, 56998, 56999, 57022, 57029, 57052, 57057, 57084, 57100, 57105, 57106, 57116, 57151, 57166, 57193, 57263, 57270, 57298, 57336, 57348, 57349, 57373, 57380, 57381, 57434, 57439, 57447, 57457, 57486, 57502, 57514, 57533, 57534, 57537, 57538, 57550, 57570, 57571, 57576, 57577, 57593, 57601, 57644, 57646, 57649, 57650, 57705, 57708, 57709, 57718, 57719, 57744, 57766, 57780, 57784, 57788, 57802, 57848, 57921, 57936, 57942, 57958, 57960, 57963, 57964, 57965, 57966, 57975, 57991, 58010, 58011, 58020, 58021, 58035, 58041, 58042, 58044, 58053, 58056, 58069, 58073, 58074, 58093, 58094, 58098, 58102, 58103, 58113, 58114, 58126, 58129, 58130, 58138, 58142, 58143, 58153, 58164, 58167, 58174, 58183, 58185, 58189, 58194, 58205, 58216, 58222, 58232, 58249, 58257, 58258, 58274, 58283, 58310, 58338, 58339, 58372, 58375, 58383, 58451, 58452, 58453, 58495, 58504, 58515, 58519, 58550, 58551, 58552, 58571, 58576, 58646, 58680, 58694, 58701, 58704, 58709, 58717, 58722, 58757, 58760, 58782, 58809, 58867, 58868, 58869, 58905, 58930, 58937, 58954, 58956, 58986, 58987, 58988, 58992, 59010, 59011, 59021, 59025, 59052, 59080, 59091, 59092, 59097, 59098, 59119, 59132, 59141, 59148, 59155, 59156, 59158, 59213, 59228, 59232, 59233, 59240, 59250, 59256, 59272, 59276, 59289, 59302, 59305, 59306, 59341, 59345, 59366, 59396, 59397, 59398, 59414, 59426, 59457, 59476, 59491, 59497, 59501, 59505, 59512, 59520, 59548, 59570, 59583, 59621, 59639, 59640, 59664, 59672, 59676, 59681, 59693, 59698, 59744, 59761, 59762, 59771"
D-alanyl-D-alanine carboxypeptidase,RAST2:fig|442.17.peg.883,128,"59903, 59909, 59921, 59922, 59926, 59945, 59946, 59958, 59967, 59972, 59983, 59993, 59994, 60017, 60024, 60047, 60052, 60079, 60095, 60100, 60101, 60111, 60146, 60161, 60188, 60258, 60265, 60293, 60331, 60343, 60344, 60368, 60375, 60376, 60429, 60434, 60442, 60452, 60481, 60497, 60509, 60528, 60529, 60532, 60533, 60545, 60565, 60566, 60571, 60572, 60588, 60596, 60639, 60641, 60644, 60645, 60700, 60703, 60704, 60713, 60714, 60739, 60761, 60775, 60779, 60783, 60797, 60843, 60916, 60931, 60937, 60953, 60955, 60958, 60959, 60960, 60961, 60970, 60986, 61005, 61006, 61015, 61016, 61030, 61036, 61037, 61039, 61048, 61051, 61064, 61068, 61069, 61088, 61089, 61093, 61097, 61098, 61108, 61109, 61121, 61124, 61125, 61133, 61137, 61138, 61148, 61159, 61162, 61169, 61178, 61180, 61184, 61189, 61200, 61211, 61217, 61227, 61244, 61252, 61253, 61269, 61278, 61305, 61333, 61334, 61367, 61370, 61378"
Protein YzbB,RAST2:fig|442.17.peg.884,113,"61456, 61462, 61474, 61475, 61479, 61498, 61499, 61511, 61520, 61525, 61536, 61546, 61547, 61570, 61577, 61600, 61605, 61632, 61648, 61653, 61654, 61664, 61699, 61714, 61741, 61811, 61818, 61846, 61884, 61896, 61897, 61921, 61928, 61929, 61982, 61987, 61995, 62005, 62034, 62050, 62062, 62081, 62082, 62085, 62086, 62098, 62118, 62119, 62124, 62125, 62141, 62149, 62192, 62194, 62197, 62198, 62253, 62256, 62257, 62266, 62267, 62292, 62314, 62328, 62332, 62336, 62350, 62396, 62469, 62484, 62490, 62506, 62508, 62511, 62512, 62513, 62514, 62523, 62539, 62558, 62559, 62568, 62569, 62583, 62589, 62590, 62592, 62601, 62604, 62617, 62621, 62622, 62641, 62642, 62646, 62650, 62651, 62661, 62662, 62674, 62677, 62678, 62686, 62690, 62691, 62701, 62712, 62715, 62722, 62731, 62733, 62737, 62742"
hypothetical protein,RAST2:fig|442.17.peg.885,66,"62901, 62907, 62919, 62920, 62924, 62943, 62944, 62956, 62965, 62970, 62981, 62991, 62992, 63015, 63022, 63045, 63050, 63077, 63093, 63098, 63099, 63109, 63144, 63159, 63186, 63256, 63263, 63291, 63329, 63341, 63342, 63366, 63373, 63374, 63427, 63432, 63440, 63450, 63479, 63495, 63507, 63526, 63527, 63530, 63531, 63543, 63563, 63564, 63569, 63570, 63586, 63594, 63637, 63639, 63642, 63643, 63698, 63701, 63702, 63711, 63712, 63737, 63759, 63773, 63777, 63781"
hypothetical protein,RAST2:fig|442.17.peg.886,167,"63873, 63879, 63891, 63892, 63896, 63915, 63916, 63928, 63937, 63942, 63953, 63963, 63964, 63987, 63994, 64017, 64022, 64049, 64065, 64070, 64071, 64081, 64116, 64131, 64158, 64228, 64235, 64263, 64301, 64313, 64314, 64338, 64345, 64346, 64399, 64404, 64412, 64422, 64451, 64467, 64479, 64498, 64499, 64502, 64503, 64515, 64535, 64536, 64541, 64542, 64558, 64566, 64609, 64611, 64614, 64615, 64670, 64673, 64674, 64683, 64684, 64709, 64731, 64745, 64749, 64753, 64767, 64813, 64886, 64901, 64907, 64923, 64925, 64928, 64929, 64930, 64931, 64940, 64956, 64975, 64976, 64985, 64986, 65000, 65006, 65007, 65009, 65018, 65021, 65034, 65038, 65039, 65058, 65059, 65063, 65067, 65068, 65078, 65079, 65091, 65094, 65095, 65103, 65107, 65108, 65118, 65129, 65132, 65139, 65148, 65150, 65154, 65159, 65170, 65181, 65187, 65197, 65214, 65222, 65223, 65239, 65248, 65275, 65303, 65304, 65337, 65340, 65348, 65416, 65417, 65418, 65460, 65469, 65480, 65484, 65515, 65516, 65517, 65536, 65541, 65611, 65645, 65659, 65666, 65669, 65674, 65682, 65687, 65722, 65725, 65747, 65774, 65832, 65833, 65834, 65870, 65895, 65902, 65919, 65921, 65951, 65952, 65953, 65957, 65975, 65976, 65986"
hypothetical protein,RAST2:fig|442.17.peg.887,105,"65998, 66004, 66016, 66017, 66021, 66040, 66041, 66053, 66062, 66067, 66078, 66088, 66089, 66112, 66119, 66142, 66147, 66174, 66190, 66195, 66196, 66206, 66241, 66256, 66283, 66353, 66360, 66388, 66426, 66438, 66439, 66463, 66470, 66471, 66524, 66529, 66537, 66547, 66576, 66592, 66604, 66623, 66624, 66627, 66628, 66640, 66660, 66661, 66666, 66667, 66683, 66691, 66734, 66736, 66739, 66740, 66795, 66798, 66799, 66808, 66809, 66834, 66856, 66870, 66874, 66878, 66892, 66938, 67011, 67026, 67032, 67048, 67050, 67053, 67054, 67055, 67056, 67065, 67081, 67100, 67101, 67110, 67111, 67125, 67131, 67132, 67134, 67143, 67146, 67159, 67163, 67164, 67183, 67184, 67188, 67192, 67193, 67203, 67204, 67216, 67219, 67220, 67228, 67232, 67233"
hypothetical protein,RAST2:fig|442.17.peg.888,27,"67259, 67265, 67277, 67278, 67282, 67301, 67302, 67314, 67323, 67328, 67339, 67349, 67350, 67373, 67380, 67403, 67408, 67435, 67451, 67456, 67457, 67467, 67502, 67517, 67544, 67614, 67621"
tannase precursor,RAST2:fig|442.17.peg.889,143,"67691, 67697, 67709, 67710, 67714, 67733, 67734, 67746, 67755, 67760, 67771, 67781, 67782, 67805, 67812, 67835, 67840, 67867, 67883, 67888, 67889, 67899, 67934, 67949, 67976, 68046, 68053, 68081, 68119, 68131, 68132, 68156, 68163, 68164, 68217, 68222, 68230, 68240, 68269, 68285, 68297, 68316, 68317, 68320, 68321, 68333, 68353, 68354, 68359, 68360, 68376, 68384, 68427, 68429, 68432, 68433, 68488, 68491, 68492, 68501, 68502, 68527, 68549, 68563, 68567, 68571, 68585, 68631, 68704, 68719, 68725, 68741, 68743, 68746, 68747, 68748, 68749, 68758, 68774, 68793, 68794, 68803, 68804, 68818, 68824, 68825, 68827, 68836, 68839, 68852, 68856, 68857, 68876, 68877, 68881, 68885, 68886, 68896, 68897, 68909, 68912, 68913, 68921, 68925, 68926, 68936, 68947, 68950, 68957, 68966, 68968, 68972, 68977, 68988, 68999, 69005, 69015, 69032, 69040, 69041, 69057, 69066, 69093, 69121, 69122, 69155, 69158, 69166, 69234, 69235, 69236, 69278, 69287, 69298, 69302, 69333, 69334, 69335, 69354, 69359, 69429, 69463, 69477"
Iron-chelator utilization protein,RAST2:fig|442.17.peg.890,56,"69614, 69620, 69632, 69633, 69637, 69656, 69657, 69669, 69678, 69683, 69694, 69704, 69705, 69728, 69735, 69758, 69763, 69790, 69806, 69811, 69812, 69822, 69857, 69872, 69899, 69969, 69976, 70004, 70042, 70054, 70055, 70079, 70086, 70087, 70140, 70145, 70153, 70163, 70192, 70208, 70220, 70239, 70240, 70243, 70244, 70256, 70276, 70277, 70282, 70283, 70299, 70307, 70350, 70352, 70355, 70356"
Ferrichrome-iron receptor,RAST2:fig|442.17.peg.891,196,"70654, 70660, 70672, 70673, 70677, 70696, 70697, 70709, 70718, 70723, 70734, 70744, 70745, 70768, 70775, 70798, 70803, 70830, 70846, 70851, 70852, 70862, 70897, 70912, 70939, 71009, 71016, 71044, 71082, 71094, 71095, 71119, 71126, 71127, 71180, 71185, 71193, 71203, 71232, 71248, 71260, 71279, 71280, 71283, 71284, 71296, 71316, 71317, 71322, 71323, 71339, 71347, 71390, 71392, 71395, 71396, 71451, 71454, 71455, 71464, 71465, 71490, 71512, 71526, 71530, 71534, 71548, 71594, 71667, 71682, 71688, 71704, 71706, 71709, 71710, 71711, 71712, 71721, 71737, 71756, 71757, 71766, 71767, 71781, 71787, 71788, 71790, 71799, 71802, 71815, 71819, 71820, 71839, 71840, 71844, 71848, 71849, 71859, 71860, 71872, 71875, 71876, 71884, 71888, 71889, 71899, 71910, 71913, 71920, 71929, 71931, 71935, 71940, 71951, 71962, 71968, 71978, 71995, 72003, 72004, 72020, 72029, 72056, 72084, 72085, 72118, 72121, 72129, 72197, 72198, 72199, 72241, 72250, 72261, 72265, 72296, 72297, 72298, 72317, 72322, 72392, 72426, 72440, 72447, 72450, 72455, 72463, 72468, 72503, 72506, 72528, 72555, 72613, 72614, 72615, 72651, 72676, 72683, 72700, 72702, 72732, 72733, 72734, 72738, 72756, 72757, 72767, 72771, 72798, 72826, 72837, 72838, 72843, 72844, 72865, 72878, 72887, 72894, 72901, 72902, 72904, 72959, 72974, 72978, 72979, 72986, 72996, 73002, 73018, 73022, 73035, 73048, 73051, 73052, 73087, 73091"
hypothetical protein,RAST2:fig|442.17.peg.892,67,"73302, 73308, 73320, 73321, 73325, 73344, 73345, 73357, 73366, 73371, 73382, 73392, 73393, 73416, 73423, 73446, 73451, 73478, 73494, 73499, 73500, 73510, 73545, 73560, 73587, 73657, 73664, 73692, 73730, 73742, 73743, 73767, 73774, 73775, 73828, 73833, 73841, 73851, 73880, 73896, 73908, 73927, 73928, 73931, 73932, 73944, 73964, 73965, 73970, 73971, 73987, 73995, 74038, 74040, 74043, 74044, 74099, 74102, 74103, 74112, 74113, 74138, 74160, 74174, 74178, 74182, 74196"
hypothetical protein,RAST2:fig|442.17.peg.893,34,"74383, 74389, 74401, 74402, 74406, 74425, 74426, 74438, 74447, 74452, 74463, 74473, 74474, 74497, 74504, 74527, 74532, 74559, 74575, 74580, 74581, 74591, 74626, 74641, 74668, 74738, 74745, 74773, 74811, 74823, 74824, 74848, 74855, 74856"
hypothetical protein,RAST2:fig|442.17.peg.894,17,"75051, 75057, 75069, 75070, 75074, 75093, 75094, 75106, 75115, 75120, 75131, 75141, 75142, 75165, 75172, 75195, 75200"
hypothetical protein,RAST2:fig|442.17.peg.895,105,"75269, 75275, 75287, 75288, 75292, 75311, 75312, 75324, 75333, 75338, 75349, 75359, 75360, 75383, 75390, 75413, 75418, 75445, 75461, 75466, 75467, 75477, 75512, 75527, 75554, 75624, 75631, 75659, 75697, 75709, 75710, 75734, 75741, 75742, 75795, 75800, 75808, 75818, 75847, 75863, 75875, 75894, 75895, 75898, 75899, 75911, 75931, 75932, 75937, 75938, 75954, 75962, 76005, 76007, 76010, 76011, 76066, 76069, 76070, 76079, 76080, 76105, 76127, 76141, 76145, 76149, 76163, 76209, 76282, 76297, 76303, 76319, 76321, 76324, 76325, 76326, 76327, 76336, 76352, 76371, 76372, 76381, 76382, 76396, 76402, 76403, 76405, 76414, 76417, 76430, 76434, 76435, 76454, 76455, 76459, 76463, 76464, 76474, 76475, 76487, 76490, 76491, 76499, 76503, 76504"
hypothetical protein,RAST2:fig|442.17.peg.896,22,"76513, 76519, 76531, 76532, 76536, 76555, 76556, 76568, 76577, 76582, 76593, 76603, 76604, 76627, 76634, 76657, 76662, 76689, 76705, 76710, 76711, 76721"
"TonB-ExbBD energy transducing system, ExbB subunit",RAST2:fig|442.17.peg.897,54,"76734, 76740, 76752, 76753, 76757, 76776, 76777, 76789, 76798, 76803, 76814, 76824, 76825, 76848, 76855, 76878, 76883, 76910, 76926, 76931, 76932, 76942, 76977, 76992, 77019, 77089, 77096, 77124, 77162, 77174, 77175, 77199, 77206, 77207, 77260, 77265, 77273, 77283, 77312, 77328, 77340, 77359, 77360, 77363, 77364, 77376, 77396, 77397, 77402, 77403, 77419, 77427, 77470, 77472"
"TonB-ExbBD energy transducing system, ExbD subunit",RAST2:fig|442.17.peg.898,31,"77489, 77495, 77507, 77508, 77512, 77531, 77532, 77544, 77553, 77558, 77569, 77579, 77580, 77603, 77610, 77633, 77638, 77665, 77681, 77686, 77687, 77697, 77732, 77747, 77774, 77844, 77851, 77879, 77917, 77929, 77930"
hypothetical protein,RAST2:fig|442.17.peg.899,62,"77953, 77959, 77971, 77972, 77976, 77995, 77996, 78008, 78017, 78022, 78033, 78043, 78044, 78067, 78074, 78097, 78102, 78129, 78145, 78150, 78151, 78161, 78196, 78211, 78238, 78308, 78315, 78343, 78381, 78393, 78394, 78418, 78425, 78426, 78479, 78484, 78492, 78502, 78531, 78547, 78559, 78578, 78579, 78582, 78583, 78595, 78615, 78616, 78621, 78622, 78638, 78646, 78689, 78691, 78694, 78695, 78750, 78753, 78754, 78763, 78764, 78789"
hypothetical protein,RAST2:fig|442.17.peg.900,34,"78854, 78860, 78872, 78873, 78877, 78896, 78897, 78909, 78918, 78923, 78934, 78944, 78945, 78968, 78975, 78998, 79003, 79030, 79046, 79051, 79052, 79062, 79097, 79112, 79139, 79209, 79216, 79244, 79282, 79294, 79295, 79319, 79326, 79327"
TonB-dependent siderophore receptor,RAST2:fig|442.17.peg.901,181,"79568, 79574, 79586, 79587, 79591, 79610, 79611, 79623, 79632, 79637, 79648, 79658, 79659, 79682, 79689, 79712, 79717, 79744, 79760, 79765, 79766, 79776, 79811, 79826, 79853, 79923, 79930, 79958, 79996, 80008, 80009, 80033, 80040, 80041, 80094, 80099, 80107, 80117, 80146, 80162, 80174, 80193, 80194, 80197, 80198, 80210, 80230, 80231, 80236, 80237, 80253, 80261, 80304, 80306, 80309, 80310, 80365, 80368, 80369, 80378, 80379, 80404, 80426, 80440, 80444, 80448, 80462, 80508, 80581, 80596, 80602, 80618, 80620, 80623, 80624, 80625, 80626, 80635, 80651, 80670, 80671, 80680, 80681, 80695, 80701, 80702, 80704, 80713, 80716, 80729, 80733, 80734, 80753, 80754, 80758, 80762, 80763, 80773, 80774, 80786, 80789, 80790, 80798, 80802, 80803, 80813, 80824, 80827, 80834, 80843, 80845, 80849, 80854, 80865, 80876, 80882, 80892, 80909, 80917, 80918, 80934, 80943, 80970, 80998, 80999, 81032, 81035, 81043, 81111, 81112, 81113, 81155, 81164, 81175, 81179, 81210, 81211, 81212, 81231, 81236, 81306, 81340, 81354, 81361, 81364, 81369, 81377, 81382, 81417, 81420, 81442, 81469, 81527, 81528, 81529, 81565, 81590, 81597, 81614, 81616, 81646, 81647, 81648, 81652, 81670, 81671, 81681, 81685, 81712, 81740, 81751, 81752, 81757, 81758, 81779, 81792, 81801, 81808, 81815, 81816, 81818"
hypothetical protein,RAST2:fig|442.17.peg.902,78,"82203, 82209, 82221, 82222, 82226, 82245, 82246, 82258, 82267, 82272, 82283, 82293, 82294, 82317, 82324, 82347, 82352, 82379, 82395, 82400, 82401, 82411, 82446, 82461, 82488, 82558, 82565, 82593, 82631, 82643, 82644, 82668, 82675, 82676, 82729, 82734, 82742, 82752, 82781, 82797, 82809, 82828, 82829, 82832, 82833, 82845, 82865, 82866, 82871, 82872, 82888, 82896, 82939, 82941, 82944, 82945, 83000, 83003, 83004, 83013, 83014, 83039, 83061, 83075, 83079, 83083, 83097, 83143, 83216, 83231, 83237, 83253, 83255, 83258, 83259, 83260, 83261, 83270"
hypothetical protein,RAST2:fig|442.17.peg.903,34,"83306, 83312, 83324, 83325, 83329, 83348, 83349, 83361, 83370, 83375, 83386, 83396, 83397, 83420, 83427, 83450, 83455, 83482, 83498, 83503, 83504, 83514, 83549, 83564, 83591, 83661, 83668, 83696, 83734, 83746, 83747, 83771, 83778, 83779"
